,Reports,Count,,Year,Sightings,,,,Decade,Sightings
2023,23-May,138,,2023,1374,,,,2020s,17445
2023,23-Apr,267,,2022,5035,,,,2010s,63279
2023,23-Mar,269,,2021,3626,,,,2000s,43537
2023,23-Feb,390,,2020,7410,,,,1990s,11277
2023,23-Jan,310,,2019,6413,,,,1980s,2768
2022,22-Dec,302,,2018,3546,,,,1970s,3208
2022,22-Nov,371,,2017,5160,,,,1960s,1745
2022,22-Oct,506,,2016,5773,,,,1950s,598
2022,22-Sep,558,,2015,7012,,7967,,1940s,153
2022,22-Aug,532,,2014,8779,,,,1930s,22
2022,22-Jul,517,,2013,7876,,,,1920s,8
2022,22-Jun,449,,2012,8201,,,,1910s,9
2022,22-May,455,,2011,5678,,,,1900s,4
2022,22-Apr,327,,2010,4841,,,,Before 1900s,21
2022,22-Mar,338,,2009,5026,,,,,144074
2022,22-Feb,326,,2008,5343,,,,,
2022,22-Jan,354,,2007,4765,,,,,124261
2021,21-Dec,379,,2006,4193,,,,,
2021,21-Nov,297,,2005,4544,,,,,
2021,21-Oct,300,,2004,4771,,,,,0.862480392
2021,21-Sep,279,,2003,4446,,,,,
2021,21-Aug,280,,2002,3728,,,,,
2021,21-Jul,233,,2001,3579,,,,,
2021,21-Jun,237,,2000,3142,,,,,
2021,21-May,496,,1999,3185,,,,,
2021,21-Apr,292,,1998,2056,,,,,
2021,21-Mar,265,,1997,1511,,,,,
2021,21-Feb,263,,1996,1049,,,,,
2021,21-Jan,305,,1995,1515,,,,,
2020,20-Dec,395,,1994,544,,,,,
2020,20-Nov,464,,1993,409,,,,,
2020,20-Oct,548,,1992,349,,,,,
2020,20-Sep,465,,1991,313,,,,,
2020,20-Aug,738,,1990,346,,,,,
2020,20-Jul,675,,1989,335,,,,,
2020,20-Jun,395,,1988,315,,,,,
2020,20-May,582,,1987,301,,,,,
2020,20-Apr,1055,,1986,256,,,,,
2020,20-Mar,839,,1985,287,,,,,
2020,20-Feb,620,,1984,233,,,,,
2020,20-Jan,634,,1983,243,,,,,
2019,19-Dec,767,,1982,244,,,,,
2019,19-Nov,712,,1981,224,,,,,
2019,19-Oct,759,,1980,330,,,,,
2019,19-Sep,678,,1979,331,,,,,
2019,19-Aug,496,,1978,447,,,,,
2019,19-Jul,619,,1977,372,,,,,
2019,19-Jun,496,,1976,372,,,,,
2019,19-May,554,,1975,412,,,,,
2019,19-Apr,411,,1974,358,,,,,
2019,19-Mar,335,,1973,309,,,,,
2019,19-Feb,223,,1972,235,,,,,
2019,19-Jan,363,,1971,161,,,,,
2018,18-Dec,251,,1970,211,,,,,
2018,18-Nov,261,,1969,209,,,,,
2018,18-Oct,298,,1968,290,,,,,
2018,18-Sep,322,,1967,266,,,,,
2018,18-Aug,386,,1966,263,,,,,
2018,18-Jul,455,,1965,236,,,,,
2018,18-Jun,253,,1964,122,,,,,
2018,18-May,259,,1963,108,,,,,
